Geneid,SRR31110490,SRR31110491,SRR31110500,SRR31110501,SRR31110510,SRR31110511,SRR31110520,SRR31110521,SRR31110528,SRR31110533,SRR31110538,SRR31110543
ENSG00000177733,534,549,243,174,743,312,388,721,910,254,494,519
ENSG00000293261,8,9,15,10,16,10,20,13,44,14,11,26
ENSG00000082068,316,260,111,82,451,195,225,375,496,183,413,316
ENSG00000249071,1,1,1,1,0,0,0,0,0,2,0,1
ENSG00000248234,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206743,1,2,0,0,0,0,2,3,2,0,0,1
ENSG00000168621,8,7,15,14,4,4,4,9,10,39,2,25
ENSG00000276332,0,0,10,4,0,0,0,0,0,0,0,0
ENSG00000248730,0,0,6,12,0,0,6,0,2,15,0,8
ENSG00000113569,354,321,98,55,336,161,279,499,483,146,280,352
ENSG00000250455,0,0,1,2,0,2,0,0,2,2,0,4
ENSG00000248216,16,11,9,6,13,4,4,27,22,18,10,12
ENSG00000222743,1,4,0,0,3,2,2,3,16,2,0,6
ENSG00000249737,0,0,2,0,4,4,0,0,2,10,2,2
ENSG00000253093,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000243538,6,2,10,4,2,0,0,0,0,6,0,4
ENSG00000213430,10,20,10,2,27,11,2,16,12,10,18,18
ENSG00000285042,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260761,0,0,4,0,0,0,0,0,2,0,0,0
ENSG00000279671,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000279531,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241668,0,0,5,3,0,0,0,0,1,7,0,0
ENSG00000253940,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000113361,141,112,85,65,274,109,97,166,425,168,275,305
ENSG00000250482,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000039560,223,216,131,76,156,64,188,312,392,185,98,361
ENSG00000113494,320,298,63,56,50,12,277,496,22,82,35,79
ENSG00000251478,0,0,11,6,2,0,0,0,0,8,2,10
ENSG00000083720,570,551,116,67,887,377,415,848,813,182,343,343
ENSG00000240281,0,0,7,3,0,0,0,0,0,8,0,0
ENSG00000205765,655,708,150,85,586,203,485,898,924,141,328,515
ENSG00000151876,29,33,25,26,28,12,27,49,73,24,42,39
ENSG00000239694,4,0,1,0,6,0,0,2,0,10,4,2
ENSG00000199487,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000249266,0,5,7,0,4,0,9,2,13,7,7,2
ENSG00000272234,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270513,0,0,0,0,2,0,0,0,2,0,0,0
ENSG00000198865,64,48,51,22,27,15,48,63,89,32,18,99
ENSG00000177453,115,133,91,68,226,94,122,174,173,81,188,124
ENSG00000287486,0,2,4,11,0,0,0,3,0,6,0,2
ENSG00000153395,381,396,212,123,478,200,248,528,331,347,267,335
ENSG00000244945,24,8,12,11,32,14,17,13,35,12,21,18
ENSG00000204661,2,3,30,12,2,0,2,0,0,30,4,15
ENSG00000176788,725,748,199,115,1733,706,586,1095,1170,97,1051,278
ENSG00000271892,8,10,2,8,13,4,2,18,18,0,12,0
ENSG00000206814,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000251990,1,3,2,2,13,1,3,8,2,3,4,0
ENSG00000250816,6,3,10,2,33,10,3,6,6,14,18,3
ENSG00000252908,0,1,0,0,3,0,2,5,1,2,4,1
ENSG00000185296,0,0,4,6,0,0,4,2,4,8,0,5
ENSG00000201715,0,0,2,0,2,2,0,0,0,12,0,0
ENSG00000293060,9,11,4,0,6,0,2,8,1,0,1,2
ENSG00000223361,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248126,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188002,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000263746,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000260066,4,4,34,10,1,0,4,6,2,29,0,6
ENSG00000112972,1277,1140,81,32,882,296,864,1672,790,187,334,463
ENSG00000261604,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188850,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151882,29,23,12,15,24,10,12,20,32,35,10,30
ENSG00000151881,90,73,20,12,56,15,57,102,83,33,34,60
ENSG00000172244,20,21,21,5,36,15,13,31,56,23,10,41
ENSG00000249855,28,12,36,16,38,14,8,42,44,8,10,37
ENSG00000172239,241,261,74,51,325,141,179,347,383,69,194,241
ENSG00000279557,5,6,2,2,16,3,2,15,24,6,3,13
ENSG00000249286,1,1,6,0,2,2,7,6,8,2,4,3
ENSG00000112992,797,819,169,103,837,370,636,1103,923,228,704,453
ENSG00000224993,2,2,12,4,2,0,3,3,0,5,6,5
ENSG00000249405,3,2,0,0,0,0,2,0,0,6,0,4
ENSG00000270830,0,0,0,0,0,0,0,0,0,2,0,2
ENSG00000251601,0,1,3,3,1,0,0,0,0,8,0,4
ENSG00000280187,6,6,0,0,6,8,10,13,0,5,2,0
ENSG00000170584,186,185,50,30,197,68,124,240,285,57,129,169
ENSG00000251018,0,0,13,2,0,0,0,0,0,11,0,0
ENSG00000248393,0,0,0,0,4,0,0,0,0,0,0,3
ENSG00000248870,3,0,2,2,2,0,0,2,0,2,4,0
ENSG00000249100,4,0,2,0,2,2,0,4,0,0,2,2
ENSG00000240411,0,2,6,3,0,0,0,2,0,6,2,2
ENSG00000248105,0,3,0,6,0,0,2,3,1,6,0,4
ENSG00000283359,2,0,0,0,0,0,1,1,0,0,0,0
ENSG00000249857,0,0,4,0,0,0,0,3,0,12,0,4
ENSG00000248400,2,0,3,3,0,0,0,0,0,19,2,0
ENSG00000271862,5,15,2,8,18,15,9,20,38,26,4,35
ENSG00000174695,992,993,194,110,654,304,800,1478,1082,293,396,804
ENSG00000238835,1,2,0,2,0,0,1,0,0,1,0,5
ENSG00000164180,258,270,40,44,245,92,200,311,371,83,127,170
ENSG00000207129,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000249169,4,3,4,2,2,0,3,0,0,2,6,4
ENSG00000248950,0,2,0,0,0,0,2,0,4,3,0,0
ENSG00000249958,7,2,26,14,0,0,0,0,14,8,0,14
ENSG00000289337,0,1,8,4,2,0,0,1,2,15,0,4
ENSG00000249180,4,3,0,0,6,1,2,7,3,1,4,3
ENSG00000248734,10,11,10,4,10,3,14,10,4,5,13,17
ENSG00000272109,4,11,10,11,11,3,5,9,8,26,7,9
ENSG00000293684,1,2,2,0,0,0,0,3,0,4,0,7
ENSG00000248236,0,0,4,0,0,0,0,0,0,1,0,0
ENSG00000248928,2,0,0,0,0,0,0,2,0,2,0,0
ENSG00000239808,0,0,2,6,0,0,0,0,0,0,0,0
ENSG00000278958,0,2,0,0,0,0,0,2,0,2,0,0
ENSG00000253776,0,0,4,2,0,0,0,0,0,6,0,0
ENSG00000252881,0,0,0,0,0,0,0,0,0,2,0,0
ENSG00000232159,0,0,2,7,0,0,0,0,0,2,0,0
ENSG00000249112,27,32,20,7,15,7,16,45,25,12,9,18
ENSG00000248443,0,0,6,5,0,0,0,0,0,1,0,3
ENSG00000250194,0,0,2,0,0,0,0,0,0,6,0,0
ENSG00000250721,0,0,0,0,0,0,0,0,0,2,0,2
ENSG00000222107,2,0,4,0,0,0,0,0,0,0,0,2
ENSG00000250402,0,2,4,4,4,2,1,1,4,6,2,11
ENSG00000277619,0,4,4,6,2,0,0,2,0,12,0,6
ENSG00000270021,25,19,38,14,15,12,13,26,34,43,2,38
ENSG00000171617,7443,7099,1020,562,6174,2627,5297,9646,4067,363,3287,1087
ENSG00000049860,183,143,39,24,248,121,100,217,217,51,109,190
ENSG00000164347,214,233,20,20,404,163,162,285,320,94,171,221
ENSG00000271714,15,15,9,13,9,3,14,14,18,15,8,6
ENSG00000289639,2,2,5,0,2,2,1,4,4,2,2,5
ENSG00000248351,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000213568,2,2,2,2,0,0,0,2,2,10,0,4
ENSG00000248616,0,2,9,12,2,0,0,0,0,2,0,0
ENSG00000222285,0,0,3,0,0,0,0,0,0,0,2,0
ENSG00000200756,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251387,0,1,2,2,1,0,0,0,4,8,4,6
ENSG00000146005,765,688,618,391,955,458,545,949,996,1456,886,1293
ENSG00000250692,1,0,7,13,0,0,2,0,0,3,6,2
ENSG00000171421,34,17,16,10,78,16,16,25,50,41,30,38
ENSG00000145494,24,50,19,8,99,69,27,74,74,32,66,43
ENSG00000279222,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000113430,0,0,16,16,2,0,1,0,0,27,0,20
ENSG00000249326,0,0,6,10,1,0,0,2,0,5,0,4
ENSG00000288108,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279028,5,0,1,0,0,2,0,0,2,3,1,5
ENSG00000272154,3,13,4,2,10,7,21,21,21,4,3,14
ENSG00000278936,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279047,5,7,6,4,8,0,6,15,10,23,2,16
ENSG00000288892,3,0,4,0,4,2,1,1,4,10,2,6
ENSG00000280026,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000293454,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279855,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000246422,17,5,22,11,28,12,11,10,30,34,14,16
ENSG00000271795,20,9,42,23,35,19,13,29,17,26,50,18
ENSG00000086570,66,49,168,111,168,62,47,69,116,187,169,97
ENSG00000249031,4,0,4,2,0,0,0,2,0,2,2,2
ENSG00000248929,0,0,2,0,0,0,0,0,5,2,0,0
ENSG00000120149,5,10,12,6,4,0,4,3,2,40,2,28
ENSG00000266890,0,0,2,0,0,0,0,0,0,1,0,0
ENSG00000249403,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000113575,160,192,27,29,158,72,98,217,275,57,90,130
ENSG00000248559,18,15,11,6,8,11,0,15,19,3,14,7
ENSG00000132842,789,639,377,224,723,289,566,994,1042,586,470,906
ENSG00000248968,2,3,14,5,0,0,1,9,0,8,1,4
ENSG00000271980,3,4,2,3,5,2,0,4,5,10,2,4
ENSG00000145491,39,34,26,9,30,5,42,62,10,48,17,43
ENSG00000280017,1,3,9,6,2,2,0,1,4,3,0,4
ENSG00000279450,0,0,2,0,0,0,0,0,0,0,0,4
ENSG00000171992,1046,1033,2543,1379,3599,1508,818,1429,1340,1056,1540,1099
ENSG00000253852,0,0,13,2,0,2,0,0,0,5,4,4
ENSG00000286657,3,4,22,10,6,6,0,6,0,41,7,7
ENSG00000164591,9,2,35,23,17,8,2,3,26,73,18,31
ENSG00000086589,260,279,89,54,382,156,170,399,454,119,220,294
ENSG00000132912,878,717,176,85,961,410,631,1088,1407,307,478,881
ENSG00000256235,72,57,40,29,46,18,53,91,48,84,52,74
ENSG00000237693,3,2,9,15,6,0,4,5,0,25,2,13
ENSG00000145908,108,85,31,14,34,8,67,104,124,50,35,55
ENSG00000248477,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250138,6,12,32,6,16,6,8,4,34,32,18,25
ENSG00000253203,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000248769,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251158,0,0,0,1,0,0,0,0,2,0,0,2
ENSG00000205572,0,0,0,0,2,2,0,3,6,0,0,4
ENSG00000293691,12,6,14,4,0,4,2,0,14,4,0,0
ENSG00000293689,0,4,8,12,6,2,2,14,14,8,1,2
ENSG00000215158,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215156,22,12,211,106,55,26,14,32,88,161,35,146
ENSG00000183666,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233974,26,12,83,35,8,6,35,32,12,83,4,47
ENSG00000272130,2,2,0,0,4,0,1,5,8,0,4,2
ENSG00000273957,0,2,7,19,0,0,0,0,4,18,0,0
ENSG00000174132,36,40,8,1,40,12,33,65,46,8,11,22
ENSG00000249444,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000206356,0,0,0,2,0,0,0,0,0,14,0,4
ENSG00000248586,0,0,32,14,0,2,4,2,0,30,2,10
ENSG00000250308,2,0,16,15,2,0,4,2,0,23,0,2
ENSG00000169067,2,2,24,9,0,0,0,0,2,42,0,6
ENSG00000249436,7,14,12,11,44,16,0,4,10,17,21,11
ENSG00000293693,0,0,4,7,2,0,0,0,0,4,0,2
ENSG00000287709,3,7,13,20,10,2,5,4,8,33,2,2
ENSG00000249198,0,2,0,0,0,0,0,0,0,1,0,0
ENSG00000120318,77,31,184,95,80,54,60,71,89,280,81,182
ENSG00000278925,4,10,4,2,6,0,2,7,8,24,5,12
ENSG00000156453,855,851,529,337,1509,529,593,1074,1067,832,834,664
ENSG00000212561,0,0,0,4,0,0,0,0,0,0,0,0
ENSG00000070193,8,0,41,21,44,8,4,0,19,48,18,15
ENSG00000248464,1,0,8,3,0,4,0,0,0,4,0,4
ENSG00000263556,0,0,0,0,1,0,0,0,1,4,0,0
ENSG00000248779,17,11,16,4,11,15,14,17,8,8,26,7
ENSG00000112996,651,621,136,86,765,358,471,912,1115,124,467,524
ENSG00000272335,132,142,44,28,270,101,108,196,173,36,126,96
ENSG00000286254,15,2,12,10,13,0,4,4,0,18,2,10
ENSG00000237611,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000285689,2,1,4,0,0,2,1,0,0,2,0,0
ENSG00000248775,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251250,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205976,1,3,15,13,3,0,3,6,0,37,8,15
ENSG00000293711,0,2,5,3,0,0,0,4,3,9,0,4
ENSG00000248222,43,73,66,23,49,18,51,79,35,41,25,37
ENSG00000293723,0,0,0,0,0,0,0,2,0,4,0,9
ENSG00000287814,10,6,8,8,4,0,4,13,6,18,7,4
ENSG00000293465,60,33,44,25,77,30,44,73,101,60,54,67
ENSG00000254186,29,21,84,51,28,11,35,36,72,92,14,61
ENSG00000293806,4,4,2,1,0,0,2,2,0,3,2,0
ENSG00000293808,4,0,6,4,9,1,2,2,0,7,0,13
ENSG00000293830,0,0,4,2,0,0,0,0,0,2,2,3
ENSG00000254363,13,21,59,31,9,0,8,12,45,70,22,33
ENSG00000293852,0,0,7,1,0,0,0,0,0,5,0,4
ENSG00000293861,0,0,12,7,0,0,0,0,0,20,0,2
ENSG00000293862,0,0,2,0,4,0,0,0,3,4,0,1
ENSG00000293863,3,0,12,17,0,0,0,2,0,11,0,0
ENSG00000293866,2,0,16,12,8,11,1,4,0,8,10,9
ENSG00000253628,0,2,10,8,0,0,0,0,0,4,0,4
ENSG00000293871,0,0,1,0,0,0,0,0,0,3,0,0
ENSG00000245146,55,45,59,53,63,30,38,77,60,27,55,60
ENSG00000293883,0,0,4,6,7,2,0,0,0,7,8,10
ENSG00000249042,51,70,38,10,73,41,48,90,121,26,20,82
ENSG00000293900,0,2,8,7,1,0,2,0,0,7,3,3
ENSG00000293902,7,2,0,0,4,0,2,2,2,2,0,4
ENSG00000291102,296,293,143,77,284,113,206,424,414,141,202,240
ENSG00000251538,2,6,32,17,2,0,4,8,5,47,7,14
ENSG00000293921,0,0,0,0,0,0,1,0,2,15,0,4
ENSG00000227908,4,1,34,12,14,1,4,14,4,32,3,26
ENSG00000293943,14,20,16,6,11,3,9,22,10,7,13,14
ENSG00000293950,9,21,3,4,8,4,6,18,19,13,0,9
ENSG00000248677,7,17,42,35,41,22,11,18,14,59,8,16
ENSG00000293971,0,0,0,0,0,0,0,0,2,2,0,0
ENSG00000293981,2,6,0,0,8,2,4,0,7,0,4,8
ENSG00000249782,5,4,19,9,2,0,3,8,4,13,5,4
ENSG00000251027,4,2,12,13,1,2,2,2,1,22,2,4
ENSG00000294005,0,0,4,2,4,0,0,0,0,2,0,3
ENSG00000249035,20,15,47,27,10,6,11,15,22,53,13,53
ENSG00000249787,7,5,23,9,0,6,5,21,8,11,2,17
ENSG00000294063,0,4,8,3,0,0,0,4,0,2,0,2
ENSG00000294073,0,0,4,2,0,0,0,0,0,0,0,0
ENSG00000289317,5,0,12,6,7,1,2,2,7,16,4,20
ENSG00000294076,0,0,8,0,0,0,0,0,0,2,0,2
ENSG00000294080,0,4,17,6,0,2,0,0,4,15,0,4
ENSG00000294092,0,0,0,0,0,0,0,0,0,4,0,0
ENSG00000294093,0,1,2,2,0,0,0,1,0,1,0,3
ENSG00000294107,0,0,48,19,0,0,0,0,0,54,0,14
ENSG00000250328,22,26,23,14,16,3,27,15,12,47,4,20
ENSG00000247516,74,60,39,35,72,19,43,101,115,58,26,70
ENSG00000294118,8,10,5,9,0,0,0,5,0,19,6,28
ENSG00000294119,2,0,0,0,0,0,4,8,0,2,0,0
ENSG00000249621,6,5,7,4,2,3,7,11,3,7,2,18
ENSG00000294124,3,3,4,4,0,0,4,4,1,5,0,0
ENSG00000294127,4,2,8,6,1,0,0,0,0,6,0,2
ENSG00000294137,0,0,0,0,0,0,0,0,0,4,0,2
ENSG00000294143,0,2,0,0,10,5,0,2,9,2,2,0
ENSG00000294144,1,0,0,0,0,2,0,5,2,11,0,1
ENSG00000294182,2,6,2,0,5,1,4,11,3,4,2,7
ENSG00000294192,3,1,8,6,0,2,2,5,6,24,8,7
ENSG00000294241,0,0,7,4,0,0,0,0,0,1,0,2
ENSG00000271119,16,23,9,9,29,12,25,37,27,36,34,27
ENSG00000293586,25,14,36,24,16,2,19,20,24,23,23,11
ENSG00000294311,5,4,4,5,4,0,3,10,10,3,2,5
ENSG00000294317,7,5,10,4,3,3,4,6,5,8,6,0
ENSG00000286274,8,14,25,35,9,6,3,6,19,24,11,21
ENSG00000249421,17,14,50,20,25,14,9,17,26,29,20,20
ENSG00000294369,0,0,8,2,0,0,0,0,0,13,0,0
ENSG00000294384,0,0,3,0,23,6,2,2,4,7,5,0
ENSG00000294393,0,0,12,4,0,0,7,0,0,23,0,4
ENSG00000294421,0,0,13,9,6,2,0,0,15,13,4,2
ENSG00000294439,0,0,7,0,0,2,0,0,2,9,0,0
ENSG00000294441,2,8,0,0,2,0,2,6,2,0,0,0
ENSG00000287148,4,4,2,3,6,0,3,3,13,8,6,2
ENSG00000294471,6,6,3,2,2,0,5,3,4,0,3,0
ENSG00000294473,0,0,0,0,0,0,0,0,2,8,0,4
ENSG00000294487,0,0,0,0,0,0,0,2,0,8,0,1
ENSG00000294488,0,3,9,9,2,0,2,1,2,8,0,2
ENSG00000294509,0,1,3,4,0,0,1,0,2,0,0,1
ENSG00000294521,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000294529,0,0,4,0,0,0,0,0,0,0,0,2
ENSG00000294562,1,0,6,1,4,1,0,0,0,5,0,0
ENSG00000294576,2,0,13,2,0,2,2,2,2,3,0,1
ENSG00000294589,0,0,4,2,0,0,0,0,0,0,0,0
ENSG00000294596,4,0,12,4,2,2,4,4,6,14,0,8
ENSG00000294604,1,0,18,8,0,0,0,2,0,5,0,0
ENSG00000294630,2,3,13,6,36,19,3,2,6,19,17,5
ENSG00000294673,2,2,12,5,0,0,6,2,2,5,1,0
ENSG00000294678,2,4,1,0,2,0,0,0,0,4,1,0
ENSG00000294693,0,0,6,7,1,0,0,0,4,8,0,8
ENSG00000294701,0,0,0,0,0,0,0,0,0,5,0,0
ENSG00000287203,2,2,27,8,0,0,1,0,3,18,5,7
ENSG00000286753,47,40,58,36,100,36,55,64,102,77,41,80
ENSG00000251365,18,22,78,41,105,35,7,23,77,73,53,21
ENSG00000294775,0,0,7,2,0,0,0,0,0,7,0,4
ENSG00000294836,15,5,12,10,49,29,9,11,28,9,34,15
ENSG00000294859,4,0,1,0,0,0,5,3,2,0,0,1
ENSG00000294864,0,2,0,0,0,0,0,0,0,2,0,0
ENSG00000288799,14,2,18,6,8,8,6,4,2,20,6,8
ENSG00000248605,2,4,32,30,1,1,0,1,2,19,0,1
ENSG00000294887,19,13,7,5,14,4,15,21,7,2,6,3
ENSG00000294891,0,0,0,0,0,0,1,0,2,5,0,4
ENSG00000251273,3,8,16,10,2,0,3,5,0,12,1,4
ENSG00000249109,10,10,10,6,8,6,6,10,4,9,4,7
ENSG00000280029,6,11,4,1,5,1,5,13,8,4,4,7
ENSG00000245662,15,7,26,14,14,2,4,29,11,25,0,13
ENSG00000294929,0,1,6,0,0,0,0,1,4,4,0,4
ENSG00000288095,105,90,53,34,73,40,71,133,109,74,43,113
ENSG00000294952,3,2,9,2,3,4,0,3,3,10,1,6
ENSG00000294958,0,0,1,0,0,0,0,0,1,2,0,1
ENSG00000289267,0,6,21,14,22,5,6,8,9,23,10,13
ENSG00000294972,0,0,10,0,0,0,0,0,0,4,0,0
ENSG00000294973,0,0,1,3,0,0,0,0,0,4,0,0
ENSG00000294975,2,4,11,12,0,0,2,0,0,7,0,4
ENSG00000295029,0,0,1,1,0,0,0,0,0,4,0,0
ENSG00000295057,0,3,24,14,0,0,0,1,3,14,0,2
ENSG00000295076,0,0,5,6,0,0,0,0,0,9,0,4
ENSG00000289478,0,0,13,8,8,2,0,0,0,4,1,13
ENSG00000295093,0,0,12,0,0,0,0,0,0,8,0,0
ENSG00000295134,0,2,6,4,0,0,3,4,2,4,0,1
ENSG00000295146,2,10,8,0,1,2,0,4,0,4,0,2
ENSG00000295164,0,0,2,4,1,0,0,0,0,3,2,1
ENSG00000250159,344,324,106,71,343,112,292,487,877,92,230,517
ENSG00000248757,3,3,7,8,0,0,5,5,6,2,0,2
ENSG00000295198,0,0,6,2,4,0,0,0,4,8,0,6
ENSG00000293504,67,64,16,10,41,19,32,71,136,14,15,64
ENSG00000295218,5,2,0,1,5,4,0,6,9,19,1,5
ENSG00000295236,10,8,12,4,14,6,2,4,4,29,14,18
ENSG00000295238,0,0,10,4,0,0,0,0,0,6,0,4
ENSG00000295261,0,0,5,0,2,0,0,0,0,7,0,0
ENSG00000251076,24,13,10,12,12,2,14,32,25,29,11,17
ENSG00000295272,0,2,18,12,0,0,0,4,0,7,0,0
ENSG00000295276,0,0,12,15,0,2,1,0,0,10,0,1
ENSG00000295283,0,0,6,8,6,2,0,2,4,4,0,1
ENSG00000295289,0,0,8,2,0,0,0,0,2,5,0,2
ENSG00000295300,0,0,9,5,0,0,0,2,2,19,0,8
ENSG00000295307,10,10,5,2,6,3,12,16,19,12,8,25
ENSG00000295318,2,2,14,8,0,0,0,2,2,7,0,3
ENSG00000295323,2,2,2,2,0,0,2,3,0,0,0,1
ENSG00000279232,2,0,7,0,5,0,0,0,3,2,0,0
ENSG00000295330,0,0,5,4,0,0,0,0,0,2,0,2
ENSG00000279375,22,17,0,0,13,5,7,22,15,10,12,13
ENSG00000295348,0,0,0,1,2,0,1,0,2,0,0,3
ENSG00000295352,12,33,7,10,4,8,14,27,17,11,23,18
ENSG00000295356,0,0,1,1,0,0,0,0,0,4,0,1
ENSG00000226272,14,16,15,12,18,17,14,9,21,35,14,29
ENSG00000295399,31,37,13,0,23,4,12,21,22,30,18,35
ENSG00000295400,0,2,5,0,0,0,2,0,0,8,0,5
ENSG00000295419,3,0,7,12,6,2,2,4,8,28,2,14
ENSG00000248323,96,100,99,63,44,25,74,121,101,116,40,114
ENSG00000295438,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000295462,0,0,8,2,2,0,0,0,0,2,0,0
ENSG00000295472,0,0,0,0,0,2,1,1,2,5,0,3
ENSG00000295481,0,0,5,0,2,0,0,0,2,6,1,0
ENSG00000246334,23,35,53,31,32,7,34,49,31,51,33,46
ENSG00000286638,0,10,8,0,6,2,6,10,12,13,2,10
ENSG00000295516,4,3,9,6,1,2,2,9,8,5,4,10
ENSG00000234292,0,0,8,4,0,0,0,0,0,3,0,2
ENSG00000295530,3,0,7,2,4,2,2,1,4,6,0,12
ENSG00000286193,13,14,20,20,13,4,3,17,10,32,4,21
ENSG00000288035,0,2,17,10,5,0,4,0,4,3,0,4
ENSG00000295579,2,0,4,0,0,2,1,0,0,14,0,4
ENSG00000247679,115,112,131,75,235,84,85,168,97,111,143,103
ENSG00000251026,1,1,25,14,4,0,1,1,0,11,4,12
ENSG00000295603,1,0,15,1,2,2,1,0,0,10,0,2
ENSG00000295615,0,0,6,4,0,0,2,0,0,6,0,3
ENSG00000295663,0,0,0,0,0,0,0,2,1,0,1,0
ENSG00000295696,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000295698,0,4,7,4,2,0,0,10,2,12,0,0
ENSG00000250802,210,190,148,91,195,84,128,233,252,135,174,254
ENSG00000233847,5,2,0,0,2,0,0,1,3,1,0,2
ENSG00000295720,4,0,5,5,0,2,4,4,4,7,4,7
ENSG00000253428,4,4,34,24,17,11,2,3,7,50,5,13
ENSG00000289839,0,0,28,13,6,0,0,0,8,20,18,11
ENSG00000253686,11,13,84,35,137,62,13,4,20,59,56,22
ENSG00000287003,9,8,54,64,2,8,13,9,4,47,7,12
ENSG00000295746,5,2,4,4,0,0,0,5,3,2,10,4
ENSG00000286736,10,0,0,2,19,8,10,12,7,36,2,15
ENSG00000295760,0,0,3,3,1,0,2,4,0,7,0,4
ENSG00000295770,1,4,12,4,1,0,1,0,0,4,0,0
ENSG00000295775,2,0,13,6,11,3,2,10,2,6,6,7
ENSG00000254211,14,9,81,39,16,5,9,16,12,84,12,33
ENSG00000249639,0,0,2,4,0,0,0,0,4,15,0,4
ENSG00000295805,0,0,13,15,0,0,0,0,0,7,2,0
ENSG00000295807,6,4,16,8,0,0,2,2,0,27,0,0
ENSG00000286350,0,0,8,6,0,0,0,2,0,12,0,0
ENSG00000295848,0,0,7,2,0,2,0,2,2,12,0,0
ENSG00000250509,2,0,10,6,0,0,0,2,0,14,0,11
ENSG00000295870,0,0,0,0,0,0,0,0,6,2,0,0
ENSG00000295885,0,0,0,2,0,0,0,0,4,2,0,2
ENSG00000253295,4,4,28,20,6,3,2,2,5,21,3,23
ENSG00000237714,7,7,17,3,3,4,15,7,4,4,10,8
ENSG00000295918,1,1,6,2,0,0,1,0,0,3,0,4
ENSG00000295929,0,1,12,8,2,2,0,1,3,14,1,2
ENSG00000295935,0,4,6,8,2,0,0,0,0,8,0,5
ENSG00000272324,4,0,4,3,0,1,0,2,1,7,0,6
ENSG00000295975,1,2,10,12,2,0,0,1,0,19,0,8
ENSG00000288549,0,0,34,14,4,4,2,0,32,26,19,6
ENSG00000250529,0,2,20,8,0,0,2,0,0,3,0,0
ENSG00000296077,0,0,0,0,0,0,0,0,0,2,0,4
ENSG00000296089,0,0,0,2,0,1,0,0,0,0,0,0
ENSG00000296090,6,0,38,11,1,2,0,7,4,31,0,11
ENSG00000289196,12,4,14,9,6,4,8,14,0,13,8,8
ENSG00000250891,17,6,42,37,20,9,2,31,19,80,11,51
ENSG00000285831,1,0,12,4,0,2,0,0,0,6,1,6
ENSG00000250949,0,0,12,8,0,0,0,2,2,12,0,4
ENSG00000296119,0,1,4,2,0,0,4,1,2,0,0,0
ENSG00000296124,1,0,12,11,0,0,0,0,0,2,2,0
ENSG00000296127,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000296143,0,0,2,0,2,0,0,0,1,4,0,0
ENSG00000289060,0,0,11,7,0,0,0,3,0,5,0,2
ENSG00000248969,0,0,3,1,9,0,4,4,2,14,0,4
ENSG00000286543,2,4,17,10,1,0,2,5,2,3,1,8
ENSG00000296166,0,0,2,0,0,0,0,0,0,4,0,1
ENSG00000296168,0,0,10,7,0,0,0,0,0,10,0,4
ENSG00000289493,4,4,11,0,2,0,0,2,0,10,2,8
ENSG00000296200,0,2,24,5,2,0,0,2,6,22,3,6
ENSG00000296261,0,0,5,1,0,0,0,0,8,6,0,3
ENSG00000296313,4,2,2,0,0,0,2,2,0,0,0,0
ENSG00000296327,0,2,0,0,0,0,0,0,0,5,0,0
ENSG00000251616,0,2,12,12,0,0,0,2,2,15,0,3
